nominal;data;curs;cdx
1;16.08.2022;61,3747;ДолларСША
1;13.08.2022;60,8993;ДолларСША
1;12.08.2022;60,6229;ДолларСША
1;11.08.2022;60,4542;ДолларСША
1;10.08.2022;60,3814;ДолларСША
1;09.08.2022;60,3164;ДолларСША
1;06.08.2022;60,3696;ДолларСША
1;05.08.2022;60,258;ДолларСША
1;04.08.2022;60,2374;ДолларСША
1;03.08.2022;60,1595;ДолларСША
1;02.08.2022;62,0506;ДолларСША
1;30.07.2022;61,3101;ДолларСША
1;29.07.2022;60,2031;ДолларСША
1;28.07.2022;60,2198;ДолларСША
1;27.07.2022;58,6605;ДолларСША
1;26.07.2022;57,7821;ДолларСША
1;23.07.2022;57,3917;ДолларСША
1;22.07.2022;56,4783;ДолларСША
1;21.07.2022;54,8491;ДолларСША
1;20.07.2022;55,437;ДолларСША
1;19.07.2022;56,5616;ДолларСША
1;16.07.2022;57,8323;ДолларСША
1;15.07.2022;58,2568;ДолларСША
1;14.07.2022;58,5322;ДолларСША
1;13.07.2022;58,8541;ДолларСША
1;12.07.2022;61,3045;ДолларСША
1;09.07.2022;61,2664;ДолларСША
1;08.07.2022;63,1427;ДолларСША
1;07.07.2022;62,911;ДолларСША
1;06.07.2022;58,5118;ДолларСША
1;05.07.2022;55,0858;ДолларСША
1;02.07.2022;53,7676;ДолларСША
1;01.07.2022;52,5123;ДолларСША
1;30.06.2022;51,158;ДолларСША
1;29.06.2022;52,9699;ДолларСША
1;28.06.2022;53,3641;ДолларСША
1;25.06.2022;53,3234;ДолларСША
1;24.06.2022;53,3578;ДолларСША
1;23.06.2022;53,2788;ДолларСША
1;22.06.2022;54,7081;ДолларСША
1;21.06.2022;56,1727;ДолларСША
1;18.06.2022;56,7101;ДолларСША
1;17.06.2022;56,8691;ДолларСША
1;16.06.2022;56,6624;ДолларСША
1;15.06.2022;57,0926;ДолларСША
1;11.06.2022;57,778;ДолларСША
1;10.06.2022;58,3895;ДолларСША
1;09.06.2022;60,2282;ДолларСША
1;08.06.2022;60,9565;ДолларСША
1;07.06.2022;61,1094;ДолларСША
1;04.06.2022;61,9659;ДолларСША
1;03.06.2022;61,575;ДолларСША
1;02.06.2022;61,4733;ДолларСША
1;01.06.2022;61,6069;ДолларСША
1;31.05.2022;63,0975;ДолларСША
1;28.05.2022;66,4029;ДолларСША
1;27.05.2022;62,0495;ДолларСША
1;26.05.2022;56,2996;ДолларСША
1;25.05.2022;56,969;ДолларСША
1;24.05.2022;58,2087;ДолларСША
1;21.05.2022;58,8862;ДолларСША
1;20.05.2022;62,4031;ДолларСША
1;19.05.2022;63,5643;ДолларСША
1;18.05.2022;63,5428;ДолларСША
1;17.05.2022;63,4445;ДолларСША
1;14.05.2022;63,7799;ДолларСША
1;13.05.2022;65,7916;ДолларСША
1;12.05.2022;68,8389;ДолларСША
1;07.05.2022;67,3843;ДолларСША
1;06.05.2022;66,2378;ДолларСША
1;05.05.2022;69,416;ДолларСША
1;30.04.2022;71,0237;ДолларСША
1;29.04.2022;72,2953;ДолларСША
1;28.04.2022;72,8764;ДолларСША
1;27.04.2022;72,7089;ДолларСША
1;26.04.2022;73,3611;ДолларСША
1;23.04.2022;73,505;ДолларСША
1;22.04.2022;74,999;ДолларСША
1;21.04.2022;77,0809;ДолларСША
1;20.04.2022;79,0287;ДолларСША
1;19.04.2022;79,4529;ДолларСША
1;16.04.2022;80,0437;ДолларСША
1;15.04.2022;81,288;ДолларСША
1;14.04.2022;79,8471;ДолларСША
1;13.04.2022;79,6274;ДолларСША
1;12.04.2022;79,1596;ДолларСША
1;09.04.2022;74,8501;ДолларСША
1;08.04.2022;76,2547;ДолларСША
1;07.04.2022;82,5962;ДолларСША
1;06.04.2022;83,352;ДолларСША
1;05.04.2022;83,5932;ДолларСША
1;02.04.2022;83,4285;ДолларСША
1;01.04.2022;83,4097;ДолларСША
1;31.03.2022;84,0851;ДолларСША
1;30.03.2022;86,2843;ДолларСША
1;29.03.2022;93,7125;ДолларСША
1;26.03.2022;95,6618;ДолларСША
1;25.03.2022;96,0458;ДолларСША
1;24.03.2022;103,1618;ДолларСША
1;23.03.2022;104,0741;ДолларСША
1;22.03.2022;104,6819;ДолларСША
1;19.03.2022;103,9524;ДолларСША
1;18.03.2022;104,8012;ДолларСША
1;17.03.2022;108,0521;ДолларСША
1;16.03.2022;111,4823;ДолларСША
1;15.03.2022;115,1963;ДолларСША
1;12.03.2022;116,7517;ДолларСША
1;11.03.2022;120,3785;ДолларСША
1;10.03.2022;116,0847;ДолларСША
1;06.03.2022;105,8124;ДолларСША
1;05.03.2022;105,8124;ДолларСША
1;04.03.2022;111,7564;ДолларСША
1;03.03.2022;103,2487;ДолларСША
1;02.03.2022;91,7457;ДолларСША
1;01.03.2022;93,5589;ДолларСША
1;26.02.2022;83,5485;ДолларСША
1;25.02.2022;86,9288;ДолларСША
1;23.02.2022;80,4194;ДолларСША
1;22.02.2022;76,7671;ДолларСША
1;19.02.2022;75,7619;ДолларСША
1;18.02.2022;75,7527;ДолларСША
1;17.02.2022;75,0141;ДолларСША
1;16.02.2022;76,166;ДолларСША
1;15.02.2022;76,5762;ДолларСША
1;12.02.2022;74,9867;ДолларСША
1;11.02.2022;74,7241;ДолларСША
1;10.02.2022;74,8015;ДолларСША
1;09.02.2022;75,3042;ДолларСША
1;08.02.2022;75,6806;ДолларСША
1;05.02.2022;76,0509;ДолларСША
1;04.02.2022;76,6501;ДолларСША
1;03.02.2022;76,4849;ДолларСША
1;02.02.2022;77,1302;ДолларСША
1;01.02.2022;77,4702;ДолларСША
1;29.01.2022;77,8174;ДолларСША
1;28.01.2022;78,947;ДолларСША
1;27.01.2022;78,9437;ДолларСША
1;26.01.2022;78,6422;ДолларСША
1;25.01.2022;77,3649;ДолларСША
1;22.01.2022;76,6903;ДолларСША
1;21.01.2022;76,4408;ДолларСША
1;20.01.2022;76,8697;ДолларСША
1;19.01.2022;76,3347;ДолларСША
